N,T,As,Vs,GPSd,A7,V7,H7,S7,A8,V8,H8,S8,A5,V5,H5,S5,A6,V6,H6,S6,A3,V3,H3,S3,A4,V4,H4,S4,A1,V1,H1,S1,A2,V2,H2,S2
8662,348.36,-4.75559,5.89,18101,-53.13,-11.88,199.467,-0.685952,-50.182,-14.616,-397.345,-0.698279,-48.796,-11.304,167.053,-0.619593,-47.916,-13.032,3.15008,-0.740929,-45.98,-13.56,248.371,0.823072,-48.444,-13.608,145.133,-0.64069,-48.092,-10.632,4.07726,-0.702024,-44.66,-11.856,223.576,-0.696979
8663,348.4,-0.188541,5.89,18102,-48.884,-13.272,312.22,-0.634864,-46.288,-15.864,-258.243,-0.635103,-44.616,-13.272,322.027,-0.562792,-44.286,-14.448,153.485,-0.691746,-41.69,-15.168,493.402,0.889561,-44.616,-15,324.25,-0.585132,-43.78,-12.36,169.27,-0.624606,-40.216,-14.472,437.927,-0.634962
8664,348.44,1.10791,5.89,18102,-44.352,-14.544,477.363,-0.577981,-41.998,-17.088,-101.755,-0.56613,-40.062,-15.192,526.237,-0.502762,-39.842,-15.816,332.773,-0.636435,-36.894,-16.8,706.336,0.955718,-40.37,-16.176,507.067,-0.526178,-39.424,-13.872,303.294,-0.543297,-35.706,-16.416,615.21,-0.568639
8665,348.48,5.09155,5.89,18102,-40.106,-15.864,594.672,-0.521594,-37.532,-18.144,14.1629,-0.497655,-35.222,-17.184,663.453,-0.445051,-35.618,-16.848,466.404,-0.580463,-32.142,-18.408,804.975,1.01475,-36.366,-16.992,606.247,-0.469791,-34.892,-15.312,359.397,-0.471675,-31.284,-17.664,707.881,-0.50331
8666,348.52,2.82276,5.85,18102,-35.684,-16.824,669.841,-0.471583,-32.934,-18.264,101.101,-0.436797,-30.646,-18.336,731.254,-0.392307,-31.328,-17.448,528.765,-0.528547,-27.588,-19.32,808.889,1.06029,-32.164,-17.424,641.034,-0.420856,-30.558,-16.104,339.138,-0.414791,-26.906,-18.168,741.726,-0.445598
8667,348.56,2.71669,5.85,18102,-30.646,-17.736,734.759,-0.42861,-28.006,-18.096,156.162,-0.382066,-25.784,-19.416,755.469,-0.341551,-26.686,-18.12,545.468,-0.479281,-22.748,-19.848,784.621,1.09259,-27.632,-17.832,646.215,-0.376558,-26.07,-16.848,289.268,-0.367761,-22.198,-18.576,742.532,-0.392855
8668,348.6,2.5399,5.72,18103,-25.674,-18.6,752.982,-0.388452,-22.946,-18.168,164.856,-0.334704,-20.592,-20.088,755.469,-0.292285,-21.846,-18.624,543.241,-0.434238,-17.842,-20.064,720.428,1.11494,-22.902,-18.096,643.994,-0.335655,-21.208,-17.424,244.074,-0.326443,-17.182,-18.72,728.027,-0.343257
8669,348.64,3.73617,5.72,18103,-20.438,-19.464,751.843,-0.349618,-17.6,-18.168,146.019,-0.29347,-15.026,-20.304,749.012,-0.247904,-16.654,-19.056,538.787,-0.395819,-12.87,-20.016,656.234,1.1291,-17.864,-18.216,634.372,-0.297484,-15.906,-17.688,233.165,-0.288687,-11.704,-18.696,716.745,-0.301609
8670,348.68,4.99727,5.72,18103,-14.63,-20.064,738.176,-0.320142,-11.88,-18,119.938,-0.262171,-9.262,-20.256,729.64,-0.215778,-11.132,-19.104,515.401,-0.365514,-7.59,-19.68,599.869,1.13316,-12.518,-18.36,632.892,-0.266848,-10.208,-17.616,254.983,-0.25714,-6.094,-18.264,687.735,-0.272381
8671,348.72,4.87941,5.6,18103,-8.492,-20.088,688.064,-0.300187,-5.984,-17.712,88.0604,-0.245032,-3.454,-19.704,672.332,-0.199632,-5.104,-18.816,465.29,-0.345145,-1.672,-18.936,541.939,1.13291,-6.864,-18.336,622.53,-0.245652,-4.224,-17.328,267.45,-0.234204,-0.77,-17.448,607.152,-0.253999
8672,348.76,5.39209,5.6,18103,-2.2,-19.56,591.255,-0.286194,0.264,-17.544,51.8362,-0.239401,2.288,-18.624,577.088,-0.192511,0.858,-18.12,400.702,-0.333305,4.686,-18.384,484.008,1.13515,-0.968,-18.552,568.499,-0.233149,2.266,-17.352,254.983,-0.222281,4.532,-16.2,485.471,-0.246216
8673,348.8,4.85583,5.49,18104,3.718,-18.36,464.835,-0.276092,6.512,-17.016,-22.0613,-0.236421,7.92,-16.968,468.122,-0.187626,6.886,-16.992,330.546,-0.325853,10.758,-17.64,433.906,1.14417,4.972,-18.696,460.437,-0.227436,8.448,-16.392,187.971,-0.21574,9.658,-14.688,346.868,-0.245305
8674,348.84,4.49636,5.49,18104,9.57,-16.872,348.665,-0.265576,12.298,-15.864,-156.816,-0.231453,13.376,-15.336,350.277,-0.187626,12.65,-15.408,248.14,-0.316496,16.478,-16.536,353.273,1.15899,10.67,-18.192,340.533,-0.221971,13.926,-14.856,67.9725,-0.209199,14.806,-13.56,220.353,-0.245471
8675,348.88,3.35902,5.49,18104,15.268,-15.264,248.44,-0.258787,17.644,-14.112,-332.141,-0.226402,18.502,-13.704,219.518,-0.190192,18.128,-13.128,150.144,-0.308133,21.56,-14.952,219.406,1.16992,16.632,-17.4,266.518,-0.21692,19.14,-13.152,-69.1685,-0.203568,19.91,-12.312,118.012,-0.245636
8676,348.92,1.75024,5.46,18105,20.504,-13.416,158.466,-0.260774,22.616,-12.336,-481.385,-0.220026,23.298,-12.12,96.0233,-0.190358,22.99,-10.8,9.83162,-0.30242,26.048,-13.344,76.1452,1.17655,22.462,-16.32,218.408,-0.213194,24.156,-11.496,-190.725,-0.199097,24.772,-10.656,41.458,-0.245967
8677,348.96,1.30238,5.46,18105,25.08,-11.448,75.3246,-0.26185,27.566,-11.088,-529.201,-0.21067,27.874,-10.608,27.4151,-0.189613,27.324,-9.168,-108.209,-0.299274,29.48,-12.336,-2.9222,1.18027,27.214,-14.808,138.472,-0.211786,28.292,-10.536,-260.854,-0.196199,28.996,-9.888,9.22476,-0.244891
8678,349,0.147358,5.44,18105,28.424,-9.816,40.0181,-0.261685,30.932,-10.944,-559.629,-0.203383,30.69,-9.72,-1.64247,-0.189447,30.338,-8.52,-138.276,-0.298446,31.372,-12.072,-38.1503,1.18242,30.668,-13.416,41.5122,-0.210627,30.338,-10.536,-310.724,-0.193963,31.856,-9.144,-41.5427,-0.240751
8679,349.04,-0.766051,5.44,18105,30.624,-8.808,4.71156,-0.258952,32.604,-11.52,-611.792,-0.197753,33.352,-9.912,-33.1215,-0.186963,33.352,-8.376,-154.98,-0.296873,32.736,-11.592,-45.1959,1.18532,32.714,-12.264,-0.6763,-0.207646,32.582,-10.368,-253.062,-0.186925,33.462,-9.504,-54.436,-0.232885
8680,349.08,1.13148,5.44,18105,31.834,-7.752,38.8792,-0.251997,32.868,-12.072,-577.017,-0.192288,34.078,-9.936,-18.5927,-0.178352,33.286,-8.256,-129.367,-0.293312,32.714,-11.52,-19.362,1.19012,34.452,-12.024,17.0873,-0.202844,32.274,-9.744,-223.452,-0.17583,33.77,-9.528,-12.5327,-0.222038
8681,349.12,3.17634,5.43,18106,31.438,-7.224,37.7402,-0.246532,32.076,-12.312,-545.139,-0.191377,33.77,-9.744,24.1865,-0.169327,32.45,-8.616,-120.458,-0.291491,31.592,-10.776,9.60333,1.19418,33.814,-11.424,42.2524,-0.199532,30.624,-8.88,-232.803,-0.170034,33.066,-9.168,23.7297,-0.213758
8682,349.16,1.06077,5.43,18106,30.008,-7.2,47.9905,-0.244628,29.128,-11.592,-520.507,-0.193447,32.824,-8.52,65.3514,-0.164856,29.678,-8.064,-104.868,-0.293643,29.48,-9.96,31.523,1.19493,32.164,-11.616,24.4888,-0.199863,27.874,-8.328,-225.01,-0.169537,30.58,-8.664,41.458,-0.214421
8683,349.2,0.783798,5.42,18106,27.28,-7.2,46.8516,-0.242144,25.762,-10.656,-516.16,-0.194358,30.294,-8.496,56.4727,-0.164359,26.048,-7.824,-105.982,-0.295879,26.378,-9.264,24.4774,1.19509,29.37,-11.472,37.0713,-0.199449,24.134,-8.496,-245.27,-0.170117,27.566,-8.808,29.3706,-0.217981
8684,349.24,0.913443,5.42,18106,23.936,-7.032,51.4073,-0.239991,21.274,-11.064,-524.854,-0.195517,26.95,-8.736,27.4151,-0.165684,21.604,-8.016,-118.231,-0.297535,22.836,-9.12,-2.13936,1.1965,25.52,-11.016,40.7721,-0.197876,19.998,-8.28,-242.153,-0.172932,24.024,-8.88,7.6131,-0.220134
8685,349.28,1.70899,5.42,18106,20.196,-6.744,52.5462,-0.239991,16.192,-11.736,-540.793,-0.199575,22.836,-8.352,26.608,-0.167505,16.302,-7.92,-104.868,-0.300599,18.744,-8.04,-5.27074,1.1984,20.944,-10.08,54.8349,-0.197545,15.356,-7.872,-242.153,-0.180881,19.954,-8.568,13.2539,-0.221707
8686,349.32,2.83455,5.41,18107,15.708,-6.408,53.6851,-0.242724,10.714,-11.76,-546.588,-0.207192,17.798,-8.088,24.9937,-0.171894,11.088,-7.896,-101.527,-0.306477,13.904,-7.32,-2.9222,1.19849,15.642,-9.456,35.591,-0.199035,10.274,-7.68,-248.387,-0.194709,15.554,-8.424,14.0598,-0.224108
8687,349.36,3.52992,5.41,18107,10.67,-6.312,53.6851,-0.252991,5.104,-11.256,-537.895,-0.22102,11.924,-8.16,8.04339,-0.18274,5.786,-8.28,-113.777,-0.318649,8.558,-7.056,-6.05359,1.19426,9.922,-9.216,18.5676,-0.205494,4.994,-7.248,-253.062,-0.216071,10.604,-8.376,4.38977,-0.23214
8688,349.4,3.36492,5.4,18107,5.038,-6.672,41.157,-0.273525,-0.638,-11.184,-539.344,-0.244452,5.698,-8.304,1.58615,-0.202116,0.396,-8.736,-117.118,-0.337693,2.948,-6.936,-2.9222,1.17944,4.114,-8.568,22.2683,-0.220646,-0.506,-6.792,-249.945,-0.245299,5.192,-8.496,-6.08605,-0.247872
8689,349.44,3.35902,5.4,18107,-1.122,-7.44,43.4348,-0.303913,-6.468,-11.616,-548.037,-0.276661,-0.594,-8.088,14.5006,-0.231758,-4.95,-8.928,-112.663,-0.364272,-2.816,-6.912,3.34057,1.15286,-1.892,-7.896,23.7486,-0.244492,-6.138,-6.528,-243.712,-0.284464,-0.66,-8.76,-6.89188,-0.274368
8690,349.48,2.43972,5.4,18107,-7.216,-7.776,44.5738,-0.343822,-12.166,-11.976,-562.527,-0.317482,-7.084,-8.328,17.7293,-0.273572,-10.076,-9.048,-112.663,-0.401449,-8.8,-7.224,0.992028,1.11403,-7.986,-7.536,18.5676,-0.278109,-11.902,-6.576,-251.504,-0.33373,-6.578,-9.048,-14.9502,-0.311545
8691,349.52,1.64417,5.41,18108,-13.178,-7.824,46.8516,-0.392674,-18.106,-11.904,-558.18,-0.367741,-13.53,-8.568,12.8863,-0.328634,-15.334,-9.024,-110.436,-0.446492,-14.982,-7.536,-2.13936,1.06286,-14.014,-7.368,20.788,-0.322821,-17.754,-6.576,-256.179,-0.392187,-12.716,-8.544,-11.7269,-0.356423
8692,349.56,0.365398,5.41,18108,-19.118,-7.728,45.7127,-0.446329,-23.98,-11.808,-555.282,-0.424873,-19.888,-8.784,8.04339,-0.391148,-20.68,-9.024,-105.982,-0.497331,-21.076,-7.56,-5.27074,1.00474,-20.042,-7.416,22.2683,-0.37631,-23.386,-6.408,-260.854,-0.458427,-18.7,-8.208,-10.921,-0.408338
8693,349.6,-0.707122,5.55,18109,-25.146,-7.848,41.157,-0.503958,-29.744,-11.52,-553.833,-0.486642,-26.114,-8.88,11.272,-0.456312,-26.07,-9,-104.868,-0.552393,-26.994,-7.488,-16.2306,0.944043,-25.894,-7.56,20.788,-0.435926,-28.952,-6.048,-270.205,-0.529469,-24.398,-7.944,-10.921,-0.465056
8694,349.64,-1.68535,5.55,18109,-30.91,-7.848,30.9067,-0.562166,-35.222,-11.064,-550.935,-0.549653,-32.12,-8.736,14.5006,-0.520316,-31.548,-9.12,-104.868,-0.608366,-32.846,-6.888,-22.4934,0.88393,-31.416,-7.632,14.8668,-0.497364,-34.452,-5.352,-276.438,-0.600843,-29.964,-7.296,-8.50354,-0.523844
8695,349.68,-2.66358,5.55,18109,-36.3,-7.512,30.9067,-0.618304,-40.436,-10.344,-552.384,-0.611753,-37.84,-8.376,20.9579,-0.582002,-36.344,-9.528,-102.641,-0.662186,-37.576,-5.544,-23.2762,0.828123,-36.718,-7.392,17.0873,-0.557228,-39.402,-4.344,-274.88,-0.667497,-35.244,-6.144,-1.25106,-0.583957
8696,349.72,-3.89521,5.65,18109,-41.404,-7.032,36.6013,-0.670551,-44.572,-9.384,-545.139,-0.670624,-43.142,-7.632,23.3793,-0.63723,-40.634,-9.288,-104.868,-0.710707,-41.8,-4.104,-5.27074,0.777367,-41.602,-6.84,25.2289,-0.613284,-43.868,-3.144,-254.62,-0.725539,-39.622,-5.352,5.1956,-0.640509
8697,349.76,-5.13274,5.65,18109,-45.76,-6.456,43.4348,-0.714601,-48.092,-8.232,-532.099,-0.72196,-47.388,-6.48,37.9081,-0.683349,-43.824,-8.04,-97.073,-0.75161,-45.386,-3.24,14.3004,0.735718,-45.826,-6.552,28.1895,-0.660811,-47.74,-2.16,-223.452,-0.771576,-43.23,-4.536,11.6423,-0.690189
8698,349.8,-6.51169,5.75,18110,-49.434,-5.952,65.0743,-0.747886,-50.974,-7.8,-523.405,-0.761455,-50.71,-6.024,50.0155,-0.716304,-46.266,-7.536,-83.7099,-0.782909,-48.246,-3.336,22.9117,0.706738,-49.082,-5.88,42.2524,-0.698071,-50.864,-2.064,-201.634,-0.806187,-45.892,-3.888,26.9531,-0.730844
8699,349.84,-7.14813,5.75,18110,-52.448,-5.736,87.8527,-0.767924,-53.02,-8.184,-513.262,-0.785467,-52.998,-5.736,90.3732,-0.732781,-49.082,-7.776,-82.5963,-0.803277,-50.754,-3.72,47.9628,0.692994,-51.172,-6.072,72.5985,-0.722497,-53.394,-2.76,-165.791,-0.824154,-47.938,-4.008,63.2155,-0.757009
8700,349.88,-7.19527,5.75,18110,-54.912,-6.816,100.381,-0.774879,-53.768,-9.24,-494.426,-0.791926,-54.67,-6.024,124.274,-0.730711,-50.908,-8.592,-51.4158,-0.81015,-52.602,-4.92,68.3168,0.694318,-52.91,-7.272,121.448,-0.729618,-54.868,-4.272,-148.648,-0.825065,-49.61,-4.968,89.0021,-0.768104
8701,349.92,-7.10099,5.78,18110,-56.386,-8.52,126.576,-0.768752,-53.636,-10.656,-450.956,-0.780582,-54.934,-7.128,114.588,-0.711998,-51.612,-9.888,-25.8033,-0.804933,-53.064,-6.888,78.4938,0.712203,-53.526,-9.12,123.669,-0.71993,-55.088,-6.168,-137.739,-0.808588,-50.16,-6.312,90.6138,-0.763053
8702,349.96,-8.53887,5.78,18110,-56.254,-10.896,90.1306,-0.747472,-52.954,-12.312,-437.916,-0.750774,-53.702,-8.616,108.131,-0.679458,-51.15,-12.024,-51.4158,-0.786386,-51.876,-9.24,97.2821,0.746565,-52.558,-11.448,95.5432,-0.694014,-53.57,-8.208,-170.466,-0.773895,-49.214,-8.28,97.0604,-0.740118
8703,350,-6.80634,5.82,18111,-53.812,-12.168,125.437,-0.709964,-50.798,-14.064,-443.712,-0.702088,-51.084,-10.44,125.081,-0.633835,-48.928,-13.44,-39.1663,-0.753266,-48.554,-11.52,163.824,0.798481,-49.72,-13.392,141.433,-0.652282,-49.72,-9.912,-62.9348,-0.719495,-46.75,-10.752,142.187,-0.698718
8704,350.04,-1.63232,5.82,18111,-49.324,-13.152,240.468,-0.659787,-47.256,-15.72,-348.08,-0.638249,-47.102,-12.456,265.526,-0.578607,-45.056,-14.4,96.6916,-0.70607,-44.44,-13.44,354.838,0.861906,-45.848,-15.096,330.171,-0.597966,-45.452,-11.328,111.608,-0.647459,-42.768,-13.392,284.819,-0.643076
8705,350.08,0.265217,5.82,18111,-44.704,-13.968,401.056,-0.60191,-43.01,-17.208,-166.958,-0.566379,-42.592,-14.208,483.458,-0.520068,-40.832,-15.576,299.365,-0.65018,-39.82,-15.504,581.081,0.927566,-41.58,-16.512,536.673,-0.538929,-41.118,-12.96,284.593,-0.56706,-38.368,-15.792,503.2,-0.580811
8706,350.12,5.79871,5.83,18112,-40.37,-15.24,537.726,-0.543784,-38.588,-18.528,-16.2654,-0.49368,-37.972,-16.224,640.046,-0.464012,-36.388,-17.064,457.495,-0.591558,-35.09,-17.376,747.827,0.98743,-37.62,-17.472,679.522,-0.482542,-36.586,-14.328,378.098,-0.491629,-33.748,-17.808,653.89,-0.519125
8707,350.16,3.05259,5.83,18112,-36.014,-16.272,617.451,-0.492366,-34.122,-19.008,63.4279,-0.430007,-33.66,-17.52,687.668,-0.415326,-32.23,-17.784,516.515,-0.538235,-30.492,-18.672,787.752,1.03471,-33.352,-17.856,712.088,-0.433276,-32.142,-15.072,389.007,-0.432427,-29.502,-18.576,719.969,-0.463731
8708,350.2,1.92114,5.8,18112,-31.086,-17.064,686.925,-0.446908,-29.304,-19.056,122.836,-0.375111,-29.106,-18.816,701.39,-0.370531,-27.676,-18.408,549.923,-0.489962,-25.894,-19.536,768.964,1.07098,-28.952,-18.144,696.545,-0.387902,-27.632,-15.72,350.047,-0.385314,-24.904,-19.152,740.92,-0.411485
8709,350.24,2.50454,5.8,18112,-26.07,-17.976,727.926,-0.405757,-24.2,-18.96,170.652,-0.327501,-24.046,-19.656,725.604,-0.324328,-22.858,-19.032,567.74,-0.444091,-21.098,-20.04,733.736,1.09697,-24.332,-18.576,675.821,-0.345094,-22.946,-16.44,290.827,-0.343169,-19.932,-19.488,748.173,-0.359072
8710,350.28,3.47688,5.8,18112,-20.856,-18.888,734.759,-0.365682,-18.898,-18.888,173.55,-0.286266,-18.634,-20.112,741.747,-0.275394,-17.732,-19.512,569.967,-0.402277,-16.148,-20.184,676.588,1.11594,-19.448,-18.84,654.356,-0.304026,-17.908,-17.064,253.424,-0.302183,-14.718,-19.464,732.056,-0.312456
8711,350.32,4.77333,5.68,18113,-15.18,-19.464,729.065,-0.331485,-13.464,-18.768,141.672,-0.254637,-12.98,-20.28,734.483,-0.231675,-12.408,-19.608,538.787,-0.369571,-10.956,-20.04,626.486,1.12902,-14.08,-19.08,641.034,-0.269332,-12.408,-17.304,248.749,-0.266745,-9.284,-19.08,697.405,-0.280081
8712,350.36,5.04441,5.68,18113,-8.998,-19.512,701.731,-0.308881,-7.854,-18.36,95.3053,-0.238987,-7.172,-20.136,706.232,-0.204517,-6.534,-19.272,489.789,-0.349037,-5.456,-19.584,571.687,1.1339,-8.382,-19.152,624.75,-0.24648,-6.556,-17.184,248.749,-0.241656,-3.938,-18.168,630.521,-0.263273
8713,350.4,4.52583,5.58,18113,-2.574,-19.152,640.229,-0.295798,-1.804,-17.88,60.53,-0.236835,-1.298,-19.464,644.082,-0.19309,-0.506,-18.48,435.223,-0.338355,0.748,-18.912,516.888,1.13448,-2.53,-19.128,584.042,-0.234639,-0.418,-17.04,231.607,-0.228325,1.364,-16.872,527.375,-0.254579
8714,350.44,5.02673,5.58,18113,3.52,-18.408,534.309,-0.284455,4.356,-16.968,17.0609,-0.234682,4.532,-18.24,554.487,-0.188868,5.456,-17.232,383.998,-0.331566,6.996,-18.552,471.482,1.1402,3.63,-19.368,506.326,-0.229837,6.028,-16.728,200.438,-0.219466,6.49,-15.24,404.082,-0.251349
8715,350.48,5.12691,5.58,18113,9.35,-17.16,413.584,-0.271207,10.164,-15.744,-87.265,-0.229879,10.098,-16.824,434.221,-0.188785,11.242,-15.696,308.274,-0.322292,13.024,-17.688,415.9,1.15667,9.504,-18.96,396.784,-0.225945,11.748,-15.312,106.933,-0.210109,11.726,-13.968,285.625,-0.251018
8716,350.52,4.11332,5.49,18114,14.96,-15.36,283.747,-0.258952,15.444,-14.328,-250.999,-0.22665,15.422,-15.36,293.776,-0.19309,16.654,-13.728,196.915,-0.311197,18.568,-16.488,307.868,1.17191,15.356,-18.096,295.384,-0.220563,17.072,-13.68,-28.6496,-0.20274,16.896,-12.72,183.284,-0.251184
8717,350.56,2.2865,5.49,18114,20.196,-13.272,161.883,-0.259946,20.24,-12.768,-426.324,-0.221682,20.526,-13.584,168.667,-0.194746,21.494,-11.496,53.2616,-0.303579,23.364,-15.144,157.561,1.18002,21.23,-16.896,220.629,-0.218659,22.242,-12,-156.44,-0.197193,21.868,-11.088,89.808,-0.251184
8718,350.6,1.10791,5.46,18114,24.97,-11.28,77.6024,-0.260857,25.036,-11.328,-521.956,-0.21274,25.344,-11.568,69.3872,-0.19367,26.048,-9.576,-82.5963,-0.300681,27.61,-13.8,35.4373,1.18267,26.334,-15.384,159.936,-0.216754,27.104,-10.776,-243.712,-0.194377,26.686,-9.792,23.7297,-0.249693
8719,350.64,1.06077,5.46,18114,28.71,-9.816,42.2959,-0.260857,29.26,-10.56,-543.691,-0.205536,29.458,-10.176,13.6935,-0.194332,29.568,-8.928,-127.14,-0.300185,30.272,-12.888,-10.7507,1.18391,30.228,-13.968,74.0788,-0.215098,30.184,-10.152,-285.789,-0.192887,30.338,-9.264,0.360608,-0.244725
8720,350.68,-0.412473,5.46,18114,30.69,-8.856,9.26724,-0.258538,31.262,-10.872,-592.956,-0.201893,31.68,-9.672,-40.3859,-0.194167,32.362,-8.376,-163.888,-0.299771,32.01,-12.552,-46.7616,1.18516,32.516,-12.432,15.607,-0.21278,32.604,-10.464,-282.672,-0.189575,33.088,-9.24,-67.3293,-0.237522
8721,350.72,-0.029431,5.36,18115,32.186,-8.16,37.7402,-0.251997,32.384,-11.736,-588.609,-0.197753,34.408,-10.464,-42.0002,-0.189778,33.22,-8.04,-141.617,-0.296541,32.868,-11.832,-25.6247,1.18988,34.188,-11.352,8.2055,-0.20864,33.572,-10.152,-220.335,-0.179473,33.99,-9.504,-39.931,-0.227503
8722,350.76,3.73028,5.36,18115,31.966,-7.8,29.7678,-0.244297,32.032,-11.88,-563.976,-0.194441,34.496,-10.224,-6.4854,-0.18067,32.626,-8.64,-137.162,-0.29207,32.252,-11.472,3.34057,1.1965,34.408,-10.512,37.8115,-0.205162,32.252,-9.48,-235.919,-0.169206,33.594,-9.144,-2.05689,-0.21707
8723,350.8,1.47327,5.35,18115,30.382,-7.416,50.2684,-0.241813,29.964,-10.848,-532.099,-0.195683,33.836,-9.432,36.2938,-0.173881,30.426,-7.776,-104.868,-0.292484,30.954,-11.064,21.346,1.19865,33.088,-10.512,32.6304,-0.205245,29.986,-8.784,-231.244,-0.166888,31.834,-8.28,29.3706,-0.214669
8724,350.84,0.842727,5.35,18115,27.632,-7.08,58.2408,-0.240985,26.664,-9.96,-521.956,-0.196677,32.318,-8.808,67.7729,-0.171894,26.884,-6.864,-101.527,-0.295134,28.512,-10.752,21.346,1.19865,30.778,-10.128,41.5122,-0.205659,26.246,-8.616,-229.686,-0.167302,28.908,-7.752,41.458,-0.218395
8725,350.88,0.612902,5.35,18115,24.332,-7.104,47.9905,-0.240405,22.726,-9.816,-537.895,-0.196594,29.546,-9.096,47.594,-0.17239,22.748,-7.344,-110.436,-0.296873,25.036,-10.512,4.12341,1.19857,27.258,-9.408,48.9137,-0.204334,21.846,-8.976,-246.828,-0.169703,25.696,-7.944,16.4772,-0.221376
8726,350.92,1.29059,5.32,18116,20.24,-7.2,49.1294,-0.241068,17.776,-9.648,-550.935,-0.196842,25.982,-9.216,24.1865,-0.173301,18.04,-7.32,-118.231,-0.298611,20.944,-9.96,-2.9222,1.19865,23.012,-8.664,34.1107,-0.201354,17.226,-9,-249.945,-0.176244,21.604,-7.512,6.80726,-0.221955
8727,350.96,2.59294,5.32,18116,15.642,-7.296,55.963,-0.244462,12.386,-9.384,-546.588,-0.199243,21.604,-9.072,24.9937,-0.175785,13.068,-7.056,-116.004,-0.302751,16.192,-9.168,-3.70505,1.19816,18.15,-8.208,21.5282,-0.199615,12.166,-8.904,-246.828,-0.187671,16.962,-7.032,10.8364,-0.222204
8728,351,3.81278,5.31,18117,10.428,-7.512,50.2684,-0.255889,6.754,-9.048,-540.793,-0.209428,16.324,-8.88,20.9579,-0.183982,7.832,-7.056,-113.777,-0.31277,10.912,-8.424,-2.9222,1.19302,12.738,-7.848,20.788,-0.201519,6.82,-8.592,-248.387,-0.207129,11.77,-6.96,3.58394,-0.225185
8729,351.04,3.21759,5.31,18117,4.884,-7.68,44.5738,-0.278162,0.924,-9.144,-545.139,-0.230542,10.362,-8.784,19.3436,-0.20046,2.178,-7.368,-119.345,-0.330738,5.258,-8.04,-9.18497,1.17779,7.062,-7.464,24.4888,-0.211704,1.364,-8.04,-248.387,-0.235612,6.028,-6.96,-5.28022,-0.236942
8730,351.08,3.28241,5.31,18117,-0.814,-7.752,42.2959,-0.308881,-4.972,-9.528,-552.384,-0.262171,3.828,-8.832,19.3436,-0.226459,-3.388,-7.704,-116.004,-0.355578,-1.122,-9.192,-15.4477,1.15361,0.99,-7.344,17.8274,-0.231741,-4.356,-7.512,-251.504,-0.272789,-0.11,-6.96,-2.05689,-0.260789
8731,351.12,2.75205,5.33,18117,-6.71,-7.872,50.2684,-0.349039,-10.758,-9.672,-558.18,-0.303654,-3.058,-9.288,18.5364,-0.263802,-8.866,-8.016,-114.89,-0.389112,-7.194,-8.664,-21.7105,1.11983,-5.434,-7.368,18.5676,-0.261384,-10.164,-7.152,-256.179,-0.319405,-6.468,-7.008,-5.28022,-0.296641
8732,351.16,1.83864,5.33,18117,-12.694,-8.088,51.4073,-0.397725,-16.61,-9.696,-558.18,-0.356067,-9.944,-9.72,3.20046,-0.313564,-14.168,-8.352,-114.89,-0.431505,-12.914,-8.904,-9.96782,1.07329,-11.77,-7.728,14.8668,-0.301707,-16.016,-6.936,-262.413,-0.374799,-12.584,-6.864,-12.5327,-0.341767
8733,351.2,0.736654,5.42,18118,-18.876,-8.256,47.9905,-0.451545,-22.484,-9.84,-550.935,-0.415186,-16.764,-9.816,2.39331,-0.371276,-19.602,-8.472,-114.89,-0.481103,-19.074,-8.544,-10.7507,1.01815,-17.754,-8.328,10.4259,-0.35147,-21.648,-6.576,-276.438,-0.438141,-18.612,-6.384,-10.921,-0.394759
8734,351.24,-0.159076,5.42,18118,-24.97,-8.712,43.4348,-0.509174,-28.336,-10.08,-548.037,-0.478362,-23.518,-9.984,9.6577,-0.433873,-25.08,-8.544,-119.345,-0.535171,-25.168,-8.352,-11.5335,0.95903,-23.826,-8.448,14.1267,-0.408602,-27.126,-5.808,-276.438,-0.506533,-24.332,-6.072,-10.1152,-0.454458
8735,351.28,-1.20213,5.42,18118,-31.13,-9.144,38.8792,-0.567134,-33.99,-10.248,-543.691,-0.543112,-30.052,-10.32,11.272,-0.49738,-30.118,-8.448,-119.345,-0.592634,-30.998,-7.944,-13.882,0.898834,-29.722,-8.328,16.3471,-0.470205,-32.67,-5.016,-274.88,-0.577493,-29.788,-5.592,-6.89188,-0.517469
8736,351.32,-2.42787,5.5,18118,-37.004,-9.168,30.9067,-0.623852,-39.424,-10.176,-542.242,-0.606951,-36.3,-10.584,18.5364,-0.56006,-34.76,-8.256,-114.89,-0.649352,-36.586,-7.104,-13.882,0.841206,-35.266,-8.04,14.8668,-0.531891,-38.324,-4.296,-268.646,-0.645389,-34.87,-5.208,-1.25106,-0.581887
8737,351.36,-3.81271,5.5,18118,-42.394,-8.808,42.2959,-0.676513,-44.044,-9.456,-539.344,-0.667891,-42.24,-10.368,29.0294,-0.618682,-39.094,-7.536,-103.755,-0.701516,-41.426,-6.264,-10.7507,0.788628,-40.458,-7.584,24.4888,-0.590514,-43.384,-3.6,-262.413,-0.705916,-39.512,-4.464,5.1956,-0.642248
